id, N.mu, Cab.mu, Car.mu, Cw.mu, Cm.mu, residual.mu, N.sigma, Cab.sigma, Car.sigma, Cw.sigma, Cm.sigma, residual.sigma, N.q25, Cab.q25, Car.q25, Cw.q25, Cm.q25, residual.q25, N.med, Cab.med, Car.med, Cw.med, Cm.med, residual.med, N.q975, Cab.q975, Car.q975, Cw.q975, Cm.q975, residual.q975
dryala-tm19_00113.sed, 2.86444915792505, 36.5993419807662, 7.8084024858465, 0.0060938585339744, 0.00325528789338988, 0.11792279396744, 0.108499547199227, 13.3638452852796, 4.18275857698824, 0.00147523316048482, 0.0015678750983475, 0.00688761381777186, 2.57983607826794, 17.0017918329747, 2.03047241613691, 0.00325319571516669, 0.000844609403250034, 0.108261925647475, 2.89299380526406, 34.3624822973092, 6.91130035143889, 0.00611095097598927, 0.00312282387202601, 0.116579436628633, 2.99331680926115, 71.9834393627193, 17.4760430223342, 0.00892741121595128, 0.0073065613998961, 0.134588619468294
dryala-tm19_00114.sed, 2.86641628741577, 37.1001901253732, 5.95271233381776, 0.00602824871760113, 0.00324153052726684, 0.113240908729846, 0.0987265963279564, 15.1473402975437, 4.42732896683079, 0.00136781087832981, 0.00126942291523953, 0.0050268807319392, 2.6305507482828, 17.4086055643748, 1.44259725217968, 0.00361775496686861, 0.00121153751380548, 0.104619615876766, 2.88380016646943, 32.9801421384833, 4.34852162036454, 0.00589335581422551, 0.00319925029057976, 0.112890742406911, 2.99410009500936, 75.2983203557825, 19.818664352486, 0.00882998808499902, 0.00578065314930591, 0.124349525606048
dryala-tm20_00116.sed, 2.93377206391995, 40.1132198071926, 7.32831705212721, 0.00271466035299415, 0.004706282151883, 0.0595021257538018, 0.0562989514258729, 11.3244418846403, 4.2179664728519, 0.000541772744290885, 0.0011206110627529, 0.00301188360375123, 2.78193068073595, 25.3263665328298, 1.67582356159019, 0.00173724625131279, 0.00265163331135439, 0.0546293248949093, 2.94601621925107, 37.8497721360499, 6.60208602231213, 0.00270937246809452, 0.00458001740937197, 0.059241045491046, 2.997838284841, 74.1977128502203, 18.7762736850289, 0.00384040207708353, 0.00707260380635567, 0.066154828949649
dryala-tm20_00117.sed, 2.93031073012201, 44.5480802931998, 7.55425257146669, 0.00267309533311816, 0.00445509277477152, 0.0597280118438258, 0.0640724524228453, 10.3986546665827, 3.88367949915559, 0.000633599559661715, 0.00115986905651212, 0.00348026681170137, 2.73570339887757, 28.3366215320744, 1.91977652865567, 0.00162985206837828, 0.00229602124742073, 0.0546658319389082, 2.95045821381442, 42.8137817462046, 7.28090591492567, 0.00261910829276964, 0.00438563770868399, 0.0589818362092965, 2.9935900272921, 68.2846120921024, 17.7483874437639, 0.00423836813905435, 0.00674364013300981, 0.0693108141728201
dryala-tm20_00119.sed, 2.92002281405583, 46.5978027007676, 8.82022518866543, 0.00345922123325528, 0.0040696234366526, 0.0709584014035924, 0.0539708870015854, 11.4904718487411, 5.37339722184898, 0.000684870310786118, 0.0010937124799619, 0.00379584100296805, 2.77211922616135, 24.1063522124079, 1.58646689547132, 0.00232863506081217, 0.00201390640818642, 0.0660176010317008, 2.9316117936488, 46.3865135942849, 8.02417881675623, 0.00336607575263455, 0.00407775155728349, 0.0702185637606916, 2.99113379532459, 70.3128266451902, 21.6473510102345, 0.00514475507972703, 0.00659993188907057, 0.0816626815292038
dryala-tm3_00013.sed, 2.96253963502971, 53.127171287347, 7.78895200035414, 0.00186759803890409, 0.00595324841886346, 0.0287425539738181, 0.0415754828706575, 4.80996255251143, 3.81515337215003, 0.000266737341971612, 0.000660305050699091, 0.00171601091989939, 2.83526113510274, 43.0279070236528, 2.43378884850288, 0.0014000961412603, 0.00454280573670792, 0.0265037331689182, 2.97597831073623, 53.435097398444, 6.92516411627145, 0.00182789990624895, 0.00593885447878254, 0.028368379821067, 2.99882822253651, 62.9426111877267, 17.7737277859071, 0.00247021908034828, 0.00720816134775876, 0.0331248817757222
dryala-tm3_00015.sed, 2.92656092416722, 36.7032030066134, 6.97693706750217, 0.00316487230283738, 0.00280015818024874, 0.0877683597229555, 0.0580469068041849, 9.96009296281911, 3.30448046922693, 0.000480751581374965, 0.000735059650471468, 0.00312927567658561, 2.78033660927637, 23.0536200969332, 1.47230284979028, 0.00192177295780623, 0.00151323963232019, 0.0829029790976334, 2.93504348853946, 33.8297840538662, 6.57613361133678, 0.00332820230878821, 0.00279512058961854, 0.0872675540931071, 2.99703039557726, 58.9949071515579, 14.412000092915, 0.00372821466072983, 0.00431583428724349, 0.0957438595082713
dryala-tm3_00016.sed, 2.89303343281321, 31.4348265970517, 7.37504184887528, 0.0031518466594494, 0.00291198091369952, 0.105230606612233, 0.0857916211579717, 10.040358644373, 3.85870513112163, 0.000808300399584522, 0.00112022733901621, 0.00597591676715318, 2.68749506817052, 16.044481499388, 1.77085994902594, 0.00180249628031441, 0.00114990323366532, 0.0968066130243316, 2.91263700811884, 29.8503920089216, 6.87760592827232, 0.00306906792793639, 0.00273796389006936, 0.104069299264406, 2.99589936953485, 54.2109994521212, 16.4575071487153, 0.00484299112230293, 0.0054659745032314, 0.119240757224794
dryala-tm3_00018.sed, 2.91077021582808, 43.7221258768097, 7.03012517503611, 0.00339881540384154, 0.00302381663747656, 0.107722085515109, 0.0778326992455074, 13.4372451500978, 4.41570925308973, 0.000814220616191918, 0.00111412621588204, 0.00637890256955683, 2.71935699960121, 19.6820103650032, 1.83216513875364, 0.00200979026102892, 0.00120950529888662, 0.0986626425711346, 2.93384525476463, 43.2194444857705, 5.69096717474052, 0.00333178519468957, 0.00287216745854968, 0.106784785342627, 2.99839720118792, 73.2527791525429, 18.2943737862687, 0.00520550512748768, 0.00578566807521841, 0.121792691638858
dryala-tm4_00019.sed, 2.91440848377025, 45.482589007644, 6.8287757410142, 0.00320560343227393, 0.00422931347310497, 0.071386186427149, 0.0788963550392827, 13.0548228133164, 3.27908205543888, 0.000693231248842528, 0.0012412844555242, 0.00399864584849672, 2.70300806077213, 26.0835171568335, 1.62232656723694, 0.00183210936940724, 0.00200965779647883, 0.0656805515783119, 2.93385895620934, 43.5642780236653, 6.61721627010159, 0.00316882850501274, 0.00412440491776909, 0.0707865158258602, 2.99709017459193, 76.6129218596942, 14.6001514101903, 0.00463452978402445, 0.00701436168479532, 0.0817420575666848
